case_id,transition_idx,required_cycles_no_replication
2,1,36
2,2,56
2,3,17
2,4,23
2,5,20
2,6,28
2,7,20
2,8,36
2,9,50
2,10,27
2,11,25
2,12,28
2,13,27
2,14,29
2,15,26
2,16,27
2,17,26
2,18,43
2,19,36
2,20,24
2,21,40
2,22,42
2,23,33
2,24,43
2,25,39
2,26,37
2,27,30
2,28,37
2,29,33
2,30,42
2,31,36
2,32,30
2,33,44
2,34,39
2,35,39
2,36,39
2,37,43
2,38,32
2,39,23
2,40,36
2,41,48
2,42,37
2,43,34
2,44,34
2,45,36
2,46,37
2,47,32
2,48,32
2,49,30
2,50,30
2,51,38
2,52,27
2,53,30
2,54,28
2,55,28
2,56,28
2,57,40
2,58,37
2,59,30
2,60,25
2,61,18
2,62,24
2,63,26
2,64,32
2,65,26
2,66,34
2,67,26
2,68,29
2,69,22
2,70,27
2,71,20
2,72,20
2,73,22
2,74,25
2,75,24
2,76,26
2,77,24
2,78,24
2,79,24
2,80,22
2,81,17
2,82,19
2,83,23
2,84,29
2,85,23
2,86,22
2,87,21
2,88,23
2,89,21
2,90,18
2,91,9
2,92,12
2,93,18
2,94,18
2,95,15
2,96,15
2,97,25
2,98,20
2,99,17
2,100,17
2,101,12
2,102,10
2,103,19
2,104,17
2,105,12
2,106,13
2,107,9
2,108,7
2,109,11
2,110,8
2,111,13
2,112,12
2,113,9
2,114,8
2,115,8
2,116,13
2,117,11
2,118,5
2,119,8
2,120,13
2,121,10
2,122,3
2,123,2
2,124,3
2,125,2
2,126,9
2,127,8
2,128,6
2,129,4
2,130,6
2,131,6
2,132,6
2,133,4
2,134,8
2,135,8
2,136,5
2,137,9
2,138,4
2,139,5
2,140,6
2,141,0
2,142,5
2,143,0
2,144,3
2,145,4
2,146,7
2,147,6
2,148,5
2,149,5
2,150,4
2,151,5
2,152,10
2,153,5
2,154,2
2,155,2
2,156,6
2,157,8
2,158,5
2,159,0
2,160,0
2,161,3
2,162,3
2,163,2
2,164,10
2,165,0
2,166,2
2,167,5
2,168,4
2,169,6
2,170,2
2,171,0
2,172,1
2,173,1
2,174,0
2,175,2
2,176,4
